Территория;Год;кадры высшей квалификации;высшее образование;неполное высшее образование;среднее профессиональное образование;среднее общее образование;основное общее образование;начальное образование;не имеют образования
ГО Нарьян-Мар;2010 год;1.6;22.0;3.5;46.1;10.6;11.4;4.5;0.2
МР Заполярный;2010 год;0.2;9.3;1.9;39.4;14.5;24.1;9.6;1.1
Арктическая зона РФ;2021 год;;;;;;;;
Республика Коми;2021 год;1.0;22.2;1.9;45.2;18.2;9.7;1.8;0.2
ГО Воркута;2021 год;1.2;22.5;2.1;48.4;17.1;7.5;1.1;0.1
ГО Инта;2021 год;0.7;17.8;1.7;48.9;20.8;7.6;2.3;0.1
ГО Усинск;2021 год;0.9;29.3;2.2;39.1;16.7;9.7;1.9;0.1
МР Усть-Цилемский;2021 год;0.5;12.3;0.7;40.9;21.4;21.0;3.0;0.2
Мурманская область;2021 год;1.4;27.9;1.8;43.8;16.0;7.2;1.8;0.2
ГО Мурманск;2021 год;;;;;;;;
МО Ковдорский;2021 год;;;;;;;;
МО Апатиты;2021 год;;;;;;;;
МО Кировск;2021 год;;;;;;;;
МО Мончегорск;2021 год;;;;;;;;
МО Оленегорск;2021 год;;;;;;;;
МО Полярные Зори;2021 год;;;;;;;;
МР Кольский;2021 год;;;;;;;;
МР Кандалакшский;2021 год;;;;;;;;
МР Ловозерский;2021 год;;;;;;;;
МР Печенгский;2021 год;;;;;;;;
МР Терский;2021 год;;;;;;;;
ЗАТО Североморск;2021 год;;;;;;;;
ЗАТО Островной;2021 год;;;;;;;;
ЗАТО Заозерск;2021 год;;;;;;;;
ЗАТО Видяево;2021 год;;;;;;;;
ЗАТО Александровск;2021 год;;;;;;;;
Ямало-Ненецкий АО;2021 год;0.9;35.2;2.3;35.0;15.3;9.1;1.9;0.4
ГО Салехард;2021 год;;;;;;;;
ГО Губкинский;2021 год;;;;;;;;
ГО Лабытнанги;2021 год;;;;;;;;
ГО Муравленко;2021 год;;;;;;;;
ГО Новый Уренгой;2021 год;;;;;;;;
ГО Ноябрьск;2021 год;;;;;;;;
МР Красноселькупский;2021 год;;;;;;;;
МО Надымский;2021 год;;;;;;;;
МО Приуральский;2021 год;;;;;;;;
МО Пуровский;2021 год;;;;;;;;
МО Тазовский;2021 год;;;;;;;;
МР Шурышкарский;2021 год;;;;;;;;
МО Ямальский;2021 год;;;;;;;;
Чукотский АО;2021 год;1.5;26.8;1.6;35.9;18.7;14.2;1.1;0.2
ГО Анадырь;2021 год;1.2;44.1;2.2;30.9;11.7;8.9;0.8;0.1
ГО Певек;2021 год;0.2;27.8;1.6;47.7;11.5;10.3;0.8;0.1
ГО Провидения;2021 год;0.3;17.1;1.5;40.7;22.0;16.9;1.4;0.2
ГО Эгвекинот;2021 год;0.5;20.6;1.5;39.9;18.7;16.8;1.9;0.1
МР Анадырский;2021 год;0.2;20.9;1.2;35.7;23.2;16.9;1.3;0.5
МР Билибинский;2021 год;4.6;21.1;1.9;39.2;21.3;10.7;1.1;0.1
МР Чукотский;2021 год;2.5;8.6;0.8;25.0;31.9;29.7;1.1;0.3
Красноярский край;2021 год;;;;;;;;
ГО Норильск;2021 год;;;;;;;;
МР Таймырский Долгано-Ненецкий;2021 год;;;;;;;;
МР Туруханский;2021 год;;;;;;;;
МР Эвенкийский;2021 год;;;;;;;;
Республика Саха (Якутия);2021 год;;;;;;;;
МР Абыйский;2021 год;;;;;;;;
МР Аллаиховский;2021 год;;;;;;;;
МР Анабарский (долгано-эвенкийский);2021 год;;;;;;;;
МР Булунский;2021 год;;;;;;;;
МР Верхнеколымский ;2021 год;;;;;;;;
МР Верхоянский;2021 год;;;;;;;;
МР Жиганский;2021 год;;;;;;;;
МР Момский;2021 год;;;;;;;;
МР Нижнеколымский;2021 год;;;;;;;;
МР Оленекский;2021 год;;;;;;;;
МР Среднеколымский;2021 год;;;;;;;;
МР Усть-Янский;2021 год;;;;;;;;
МР Эвено-Бытантайский;2021 год;;;;;;;;
Республика Карелия;2021 год;0.6;17.1;1.3;45.9;21.4;11.9;1.7;0.1
ГО Костомукша;2021 год;0.4;25.5;1.9;48.8;16.0;6.5;0.9;0.1
МР Беломорский;2021 год;1.0;12.6;1.0;42.7;25.0;15.3;2.2;0.2
МР Калевальский;2021 год;0.8;13.3;0.9;45.2;19.3;17.6;2.8;0.1
МР Кемский;2021 год;0.3;16.3;1.1;41.8;26.1;12.4;1.8;0.1
МР Лоухский;2021 год;0.2;13.7;1.0;45.9;22.6;14.7;1.7;0.1
МР Сегежский;2021 год;0.7;14.8;1.3;47.0;22.0;12.3;1.8;0.2
Архангельская область (без НАО);2021 год;;;;;;;;
МР Лешуконский;2021 год;;;;;;;;
МР Мезенский;2021 год;;;;;;;;
МР Онежский;2021 год;;;;;;;;
МР Пинежский;2021 год;;;;;;;;
МР Приморский;2021 год;;;;;;;;
ГО Архангельск;2021 год;;;;;;;;
ГО Новая Земля;2021 год;;;;;;;;
ГО Новодвинск;2021 год;;;;;;;;
ГО Северодвинск;2021 год;;;;;;;;
Ненецкий АО;2021 год;0.9;24.9;1.8;41.7;13.6;14.7;2.0;0.5
ГО Нарьян-Мар;2021 год;;;;;;;;
МР Заполярный;2021 год;;;;;;;;
