Территория;Тип;Субъект РФ;Частично;ОКТМО;Административный центр;Крупнейшая национальность, 2010 г.;Вторая национальность, 2010 г.;Площадь территории, км?;Численность населения, 2010 г., человек;Численность населения, 2021 г., человек;Изменение численности населения, 2010-2021 гг., %;Плотность населения, 2010 г.;Плотность населения, 2021 г.;Численность мужчин, 2010 г., человек;Численность мужчин, 2021 г., человек;Доля мужчин, 2010 г., %;Доля мужчин, 2021 г., %;Изменение доли мужчин, 2010-2021 гг., пп.;Численность женщин, 2010 г., человек;Численность женщин, 2021 г., человек;Доля женщин, 2010 г., %;Доля женщин, 2021 г., %;Изменение доли женщин, 2010-2021 гг., пп.;Численность городского населения, 2010 г., человек;Численность городского населения, 2021 г., человек;Численность сельского населения, 2010 г., человек;Численность сельского населения, 2021 г., человек;Степень урбанизации, 2010 г., %;Степень урбанизации, 2021 г., %;Изменение степени урбанизации, 2010-2021 гг., пп.;Ранг 1;Ранг 2;Ранг 3;Ранг 4;Ранг 5;Ранг 6;Ранг 7;Ранг 8;Ранг 9;Ранг 10;Ранг 11;Ранг 12;Ранг 13;Ранг 14;Ранг 15;Ранг 16;Ранг 17;Ранг 18;Ранг 19;Ранг 20;Ранг 21;Ранг 22;Ранг 23;;;
ЗАТО Островной;городской округ (закрытое адм.-тер. образование);Мурманская область;;47731000;г. Островной;;;463;2222;1508;-32,1;4,80;3,26;1166;791;52,5;52,5;0,0;1056;717;47,5;47,5;0,0;2171;1487;51;21;97,7;98,6;0,9;63 из 75;75 из 75;75 из 75;73 из 75;25 из 75;26 из 75;75 из 75;75 из 75;6 из 75;3 из 75;19 из 75;74 из 75;74 из 75;70 из 75;73 из 75;57 из 75;59 из 75;58 из 75;64 из 75;64 из 75;17 из 75;15 из 75;23 из 75;;;
ЗАТО Заозерск;городской округ (закрытое адм.-тер. образование);Мурманская область;;47733000;г. Заозерск;;;516;11199;7762;-30,7;21,70;15,04;5922;3984;52,9;51,3;-1,6;5277;3778;47,1;48,7;1,6;11199;7762;0;0;100,0;100,0;0,0;61 из 75;47 из 75;49 из 75;68 из 75;19 из 75;20 из 75;47 из 75;50 из 75;5 из 75;6 из 75;64 из 75;48 из 75;50 из 75;71 из 75;70 из 75;12 из 75;36 из 75;35 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
ЗАТО Видяево;городской округ (закрытое адм.-тер. образование);Мурманская область;;47735000;пос. Видяево;;;77;5771;4327;-25,0;74,51;55,86;2938;2188;50,9;50,6;-0,3;2833;2139;49,1;49,4;0,3;0;0;5771;4327;0,0;0,0;0,0;71 из 75;61 из 75;63 из 75;58 из 75;15 из 75;15 из 75;61 из 75;62 из 75;14 из 75;10 из 75;37 из 75;61 из 75;66 из 75;62 из 75;66 из 75;39 из 75;62 из 75;59 из 75;23 из 75;26 из 75;62 из 75;59 из 75;35 из 75;;;
ЗАТО Александровск;городской округ (закрытое адм.-тер. образование);Мурманская область;;47737000;г. Полярный;;;354;42789;32459;-24,1;120,88;91,69;21955;16292;51,3;50,2;-1,1;20834;16167;48,7;49,8;1,1;41044;31532;1745;927;95,9;97,1;1,2;64 из 75;17 из 75;19 из 75;56 из 75;14 из 75;14 из 75;15 из 75;19 из 75;12 из 75;12 из 75;61 из 75;19 из 75;20 из 75;64 из 75;64 из 75;15 из 75;15 из 75;17 из 75;53 из 75;54 из 75;19 из 75;18 из 75;18 из 75;;;
Ямало-Ненецкий АО;субъект РФ;;;71900000;г. Салехард;русские;украинцы;769667;522904;510490;-2,4;0,68;0,66;259200;248974;49,6;48,8;-0,8;263704;261516;50,4;51,2;0,8;443043;432263;79861;78227;84,7;84,7;-0,1;3 из 9;3 из 9;3 из 9;2 из 9;5 из 9;5 из 9;3 из 9;3 из 9;2 из 9;4 из 9;8 из 9;3 из 9;3 из 9;8 из 9;6 из 9;2 из 9;3 из 9;3 из 9;2 из 9;1 из 9;5 из 9;5 из 9;6 из 9;;;
ГО Салехард;городской округ;Ямало-Ненецкий АО;;71951000;г. Салехард;русские;татары;1018;42845;47983;12,0;42,10;47,15;20101;22492;46,9;46,9;0,0;22744;25491;53,1;53,1;0,0;42544;47910;301;73;99,3;99,8;0,6;59 из 75;16 из 75;11 из 75;3 из 75;16 из 75;16 из 75;18 из 75;10 из 75;62 из 75;56 из 75;22 из 75;15 из 75;10 из 75;14 из 75;20 из 75;54 из 75;12 из 75;10 из 75;63 из 75;63 из 75;14 из 75;12 из 75;25 из 75;;;
ГО Губкинский;городской округ;Ямало-Ненецкий АО;;71952000;г. Губкинский;русские;украинцы;73;23335;33273;42,6;321,53;458,46;11523;16686;49,4;50,1;0,8;11812;16587;50,6;49,9;-0,8;23335;33273;0;0;100,0;100,0;0,0;72 из 75;31 из 75;18 из 75;1 из 75;9 из 75;8 из 75;31 из 75;16 из 75;26 из 75;13 из 75;6 из 75;31 из 75;19 из 75;50 из 75;63 из 75;70 из 75;27 из 75;14 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
ГО Лабытнанги;городской округ;Ямало-Ненецкий АО;;71953000;г. Лабытнанги;русские;украинцы;137;26936;30532;13,4;197,09;223,40;13938;15558;51,7;51,0;-0,8;12998;14974;48,3;49,0;0,8;26936;30532;0;0;100,0;100,0;0,0;69 из 75;29 из 75;22 из 75;2 из 75;11 из 75;11 из 75;28 из 75;20 из 75;10 из 75;8 из 75;51 из 75;30 из 75;23 из 75;66 из 75;68 из 75;25 из 75;25 из 75;18 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
ГО Муравленко;городской округ;Ямало-Ненецкий АО;;71955000;г. Муравленко;русские;украинцы;92;33391;29233;-12,5;364,56;319,17;16637;14826;49,8;50,7;0,9;16754;14407;50,2;49,3;-0,9;33391;29233;0;0;100,0;100,0;0,0;70 из 75;24 из 75;24 из 75;32 из 75;8 из 75;9 из 75;21 из 75;22 из 75;23 из 75;9 из 75;5 из 75;25 из 75;27 из 75;53 из 75;67 из 75;71 из 75;19 из 75;20 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
ГО Новый Уренгой;городской округ;Ямало-Ненецкий АО;;71956000;г. Новый Уренгой;русские;украинцы;227;104107;107251;3,0;459,59;473,47;51296;52468;49,3;48,9;-0,4;52811;54783;50,7;51,1;0,4;104107;107251;0;0;100,0;100,0;0,0;66 из 75;6 из 75;5 из 75;9 из 75;7 из 75;7 из 75;6 из 75;5 из 75;29 из 75;27 из 75;38 из 75;6 из 75;5 из 75;47 из 75;49 из 75;38 из 75;6 из 75;5 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
