Территория;Тип;Субъект РФ;Частично;ОКТМО;Административный центр;Население;Население процент;Крупнейшая национальность;Вторая национальность
МР Мезенский;муниципальный район;в Архангельской области;;11642000;г. Мезень;7 466;0,3;русские;ненцы
МР Онежский;муниципальный район;в Архангельской области;;11646000;г. Онега;24 922;1,0;русские;украинцы
МР Пинежский;муниципальный район;в Архангельской области;;11648000;с. Карпогоры;18 583;0,8;русские;украинцы
МР Приморский;муниципальный район;в Архангельской области;;11652000;г. Архангельск;28 799;1,2;русские;украинцы
ГО Архангельск;городской округ;в Архангельской области;;11701000;г. Архангельск;306 021;12,9;русские;украинцы
ГО Новая Земля;городской округ;в Архангельской области;;11712000;пгт Белушья Губа;2 302;0,1;русские;украинцы
ГО Новодвинск;городской округ;в Архангельской области;;11715000;г. Новодвинск;33 294;1,4;русские;украинцы
ГО Северодвинск;городской округ;в Архангельской области;;11730000;г. Северодвинск;157 925;6,6;русские;украинцы
Ненецкий АО;субъект Российской Федерации;;;11800000;г. Нарьян-Мар;41 434;1,7;русские;ненцы
ГО Нарьян-Мар;городской округ;в Ненецком автономом округе;;11851000;г. Нарьян-Мар;23 399;1,0;русские;коми
МР Заполярный;муниципальный район;в Ненецком автономом округе;;11811000;пгт Искателей;18 035;0,8;русские;ненцы
