SRC,DST,FRAME,migranty,sname,dname
1653000,4729000,100,1,Угловский район,Норильск
1653000,47701000,100,1,Угловский район,Мурманск
1653000,47730000,100,1,Угловский район,Североморск
1653000,71920000,100,1,Угловский район,Пуровский район
1653000,71955000,100,1,Угловский район,Муравленко
1654000,4654000,100,1,Усть-Калманский район,Туруханский район
1654000,4729000,100,1,Усть-Калманский район,Норильск
1654000,47701000,100,1,Усть-Калманский район,Мурманск
1654000,71916000,100,1,Усть-Калманский район,Надымский район
1655000,4729000,100,1,Усть-Пристанский район,Норильск
1655000,47701000,100,2,Усть-Пристанский район,Мурманск
1656000,47608000,100,1,Хабарский район,Кандалакша
1656000,71951000,100,1,Хабарский район,Салехард
1656000,71952000,100,1,Хабарский район,Губкинский
1656000,71955000,100,1,Хабарский район,Муравленко
1657000,47701000,100,1,Целинный район,Мурманск
1657000,71951000,100,1,Целинный район,Салехард
1657000,71955000,100,1,Целинный район,Муравленко
1658000,47701000,100,1,Чарышский район,Мурманск
1658000,47730000,100,1,Чарышский район,Североморск
1658000,77603000,100,1,Чарышский район,Анадырский район
1659000,4729000,100,1,Шипуновский район,Норильск
1659000,47701000,100,1,Шипуновский район,Мурманск
1659000,71956000,100,1,Шипуновский район,Новый Уренгой
1659000,71958000,100,1,Шипуновский район,Ноябрьск
1659000,87723000,100,1,Шипуновский район,Усинск
1660000,47737000,100,1,Немецкий национальный район,Александровск
1660000,71923000,100,1,Немецкий национальный район,Тазовский район
1660000,71952000,100,1,Немецкий национальный район,Губкинский
1660000,87723000,100,1,Немецкий национальный район,Усинск
1701000,4650000,100,2,Барнаул,Байкитский район
1701000,4653000,100,1,Барнаул,Диксонский район
1701000,4654000,100,1,Барнаул,Туруханский район
1701000,4729000,100,25,Барнаул,Норильск
1701000,11642000,100,1,Барнаул,Мезенский район
1701000,11652000,100,1,Барнаул,Приморский район
1701000,11701000,100,3,Барнаул,Архангельск
1701000,11730000,100,4,Барнаул,Северодвинск
1701000,11851000,100,1,Барнаул,Нарьян-Мар
1701000,47615000,100,1,Барнаул,Печенгский район
1701000,47701000,100,21,Барнаул,Мурманск
1701000,47712000,100,1,Барнаул,Кировск
1701000,47719000,100,2,Барнаул,Полярные Зори
1701000,47730000,100,7,Барнаул,Североморск
1701000,47737000,100,5,Барнаул,Александровск
1701000,71916000,100,7,Барнаул,Надымский район
1701000,71920000,100,4,Барнаул,Пуровский район
1701000,71923000,100,1,Барнаул,Тазовский район
1701000,71951000,100,3,Барнаул,Салехард
1701000,71952000,100,1,Барнаул,Губкинский
1701000,71953000,100,1,Барнаул,Лабытнанги
1701000,71956000,100,15,Барнаул,Новый Уренгой
1701000,71958000,100,4,Барнаул,Ноябрьск
1701000,77615000,100,2,Барнаул,Иультинский район
1701000,77701000,100,4,Барнаул,Анадырь
1701000,86612000,100,2,Барнаул,Кемский район
1701000,86706000,100,1,Барнаул,Костомукша
1701000,87723000,100,1,Барнаул,Усинск
1703000,4729000,100,3,Алейск,Норильск
1703000,11730000,100,1,Алейск,Северодвинск
1703000,47730000,100,1,Алейск,Североморск
1703000,71918000,100,1,Алейск,Приуральский район
1703000,77630000,100,1,Алейск,Чаунский район
1703000,87710000,100,1,Алейск,Воркута
1704000,4729000,100,1,Белокуриха,Норильск
1704000,47701000,100,1,Белокуриха,Мурманск
1704000,71956000,100,1,Белокуриха,Новый Уренгой
1704000,87723000,100,1,Белокуриха,Усинск
1705000,4653000,100,3,Бийск,Диксонский район
1705000,4654000,100,1,Бийск,Туруханский район
1705000,4729000,100,9,Бийск,Норильск
