Название;Год;МО;Регион;Тип;Широта;Долгота;Численность населения
г. Лабытнанги;2002;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833;27304.0
г. Лабытнанги;2010;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833;26936.0
г. Лабытнанги;2021;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833;25501.0
г. Мезень ;1939;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;3874.0
г. Мезень ;1959;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;4077.0
г. Мезень ;1970;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;4236.0
г. Мезень ;1979;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;4812.0
г. Мезень ;1989;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;4984.0
г. Мезень ;2002;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;3863.0
г. Мезень ;2010;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;3575.0
г. Мезень ;2021;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;2874.0
г. Мончегорск;1939;МО Мончегорск;Мурманская область;город;67.93972;32.87389;28450.0
г. Мончегорск;1959;МО Мончегорск;Мурманская область;город;67.93972;32.87389;45523.0
г. Мончегорск;1970;МО Мончегорск;Мурманская область;город;67.93972;32.87389;45980.0
г. Мончегорск;1979;МО Мончегорск;Мурманская область;город;67.93972;32.87389;51401.0
г. Мончегорск;1989;МО Мончегорск;Мурманская область;город;67.93972;32.87389;70856.0
г. Мончегорск;2002;МО Мончегорск;Мурманская область;город;67.93972;32.87389;52242.0
г. Мончегорск;2010;МО Мончегорск;Мурманская область;город;67.93972;32.87389;45361.0
г. Мончегорск;2021;МО Мончегорск;Мурманская область;город;67.93972;32.87389;39962.0
г. Муравленко;2002;ГО Муравленко;Ямало-Ненецкий АО;город;63.78977;74.52301;35926.0
г. Муравленко;2010;ГО Муравленко;Ямало-Ненецкий АО;город;63.78977;74.52301;33391.0
г. Муравленко;2021;ГО Муравленко;Ямало-Ненецкий АО;город;63.78977;74.52301;29233.0
г. Мурманск;1939;ГО Мурманск;Мурманская область;город;68.97917;33.09251;117069.0
