Города и пгт;1939 г.;1959 г.;1970 г.;1979 г.;1989 г.;2002 г.;2010 г.;2021 г.;МО;Регион;Тип;Широта;Долгота
пгт Кулар;;;3168;4130;4880;;;;МР Усть-Янский;Республика Саха (Якутия);пгт;70.63894;134.35281
пгт Пинега;;;3592;4262;4523;;;;МР Пинежский;Архангельская область (без НАО);пгт;64.69969;43.39016
пгт Хальмер-Ю;;7122;4509;4328;4484;;;;ГО Воркута;Республика Коми;пгт;67.96667;64.83333
пгт Нагорный;;;2087;3025;4208;;;;МР Анадырский;Чукотский АО;пгт;63.06667;179.26667
пгт Рабочеостровск;4120;3596;3618;3414;3175;;;;МР Кемский;Республика Карелия;пгт;64.98507;34.77587
пгт Боровой;;;1953;2810;3118;;;;МР Калевальский;Республика Карелия;пгт;64.6121;32.24968
пгт Тенкели;;;;1607;3017;;;;МР Усть-Янский;Республика Саха (Якутия);пгт;70.18315;140.75788
пгт Летнереченский;;4392;4062;3401;2909;;;;МР Беломорский;Республика Карелия;пгт;64.28333;34.38333
пгт Кодино;;4272;3703;3191;2810;;;;МР Онежский;Архангельская область (без НАО);пгт;63.71976;39.64465
пгт Сосновец;;3319;3064;2955;2657;;;;МР Беломорский;Республика Карелия;пгт;64.42734;34.47132
пгт Кестеньга;;2795;3012;2422;2509;;;;МР Лоухский;Республика Карелия;пгт;65.88764;31.82535
пгт Териберка;2802;4762;3150;2479;2387;;;;МР Кольский;Мурманская область;пгт;69.16088;35.14527
пгт Лазо;;;;888;2245;;;;МР Верхоянский;Республика Саха (Якутия);пгт;66.68908;136.51409
пгт Сивомаскинский;;3533;2639;2197;2167;;;;ГО Воркута;Республика Коми;пгт;66.66667;62.58333
пгт Марково;;;1712;1992;2139;;;;МР Анадырский;Чукотский АО;пгт;64.68063;170.41486
пгт Власово;;;;2008;2087;;;;МР Усть-Янский;Республика Саха (Якутия);пгт;70.74401;134.80058
пгт Нивский;7287;3786;1612;1477;1664;;;;МР Кандалакшский;Мурманская область;пгт;67.29811;32.48022
пгт Амбарный;;1997;2004;1579;1414;;;;МР Лоухский;Республика Карелия;пгт;65.89559;33.72756
пгт Кривой Порог;;;;;1351;;;;МР Кемский;Республика Карелия;пгт;65.03803;33.6743
пгт Верхнеколвинск;;;;;1345;;;;ГО Усинск;Республика Коми;пгт;66.6675;56.99806
пгт Зареченск;;5376;1504;1338;1265;;;;МР Кандалакшский;Мурманская область;пгт;66.6799;31.42708
пгт Вирандозеро;;3246;2465;1493;1223;;;;МР Беломорский;Республика Карелия;пгт;64.0197;36.0118
пгт Черный Порог;;;;1351;1127;;;;МР Сегежский;Республика Карелия;пгт;63.99554;33.66726
пгт Мудьюга;;4078;1811;1410;1062;;;;МР Онежский;Архангельская область (без НАО);пгт;63.78316;39.23757
пгт Лесозаводский;;1744;1448;1255;1046;;;;МР Кандалакшский;Мурманская область;пгт;66.72992;32.83891
пгт Идель;;3236;1379;1041;889;;;;МР Сегежский;Республика Карелия;пгт;64.13333;34.23333
пгт Абезь;;3040;741;866;864;;;;ГО Инта;Республика Коми;пгт;66.53333;61.78333
пгт Быковский;;816;658;592;653;;;;МР Булунский;Республика Саха (Якутия);пгт;72.00438;129.11091
пгт Маленьга;;3195;2170;893;525;;;;МР Беломорский;Республика Карелия;пгт;63.8408;36.44068
пгт Чкаловский;;;485;397;304;;;;МР Лоухский;Республика Карелия;пгт;66.29829;33.39741
пгт Талнах;;;9286;33410;;;;;ГО Норильск;Красноярский край;пгт;69.4865;88.3972
пгт Усинск;;;;19513;;;;;ГО Усинск;Республика Коми;пгт;65.99389;57.52806
пгт Кайеркан;;5167;4748;18013;;;;;ГО Норильск;Красноярский край;пгт;69.37861;87.74389
пгт Гремиха;;3342;6956;9338;;;;;ЗАТО Островной;Мурманская область;пгт;68.05306;39.51306
пгт Вьюжный;;;;8617;;;;;ЗАТО Александровск;Мурманская область;пгт;69.19333;33.25314
пгт Костомукша;;;;4366;;;;;ГО Костомукша;Республика Карелия;пгт;64.571;30.57667
пгт Юма;;989;773;474;;;;;МР Кемский;Республика Карелия;пгт;65.07208;33.26179
пгт Сайда-Губа;7736;914;225;168;;;;;ЗАТО Александровск;Мурманская область;пгт;69.24189;33.22857
пгт Лабытнанги;;5220;9190;;;;;;ГО Лабытнанги;Ямало-Ненецкий АО;пгт;66.65722;66.41833
пгт Серебрянский;;;4119;;;;;;МР Кольский;Мурманская область;пгт;68.82917;35.54205
пгт Дружина;;1258;1626;;;;;;МР Абыйский;Республика Саха (Якутия);пгт;68.20164;145.31028
пгт Тюва-Губа;;918;261;;;;;;МР Кольский;Мурманская область;пгт;69.187;33.63072
пгт Горняцкий;;28457;;;;;;;ГО Воркута;Республика Коми;пгт;67.53333;64.05
пгт Апатиты;4409;13958;;;;;;;МО Апатиты;Мурманская область;пгт;67.56414;33.4031
пгт Кола;8385;12273;;;;;;;МР Кольский;Мурманская область;пгт;68.88062;33.01842
