Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
пос. Усть-Куйга;25698;Республика Саха (Якутия);Усть-Янский;Усть-Куйга;п;644;234;70.00.09;135.32.41;70.0025;135.5447222;98656165051;0;1;поселок
пос. Волочанка;54890;Красноярский край;Таймырский Долгано-Ненецкий район;Волочанка;п;634;156;69.24.46;086.11.50;69.41277778;86.19722222;4653101106;0;1;поселок
пос. Ессей;96163;Красноярский край;Эвенкийский район;Ессей;п;631;231;68.27.49;102.11.14;68.46361111;102.1872222;4650432101;0;1;поселок
пос. Белое Море;73789;Мурманская область;Кандалакшский муниципальный район;Белое Море;нп;630;93;67.04.49;032.16.15;67.08027778;32.27083333;47608101;1;0;поселок
с. Долгощелье;129836;Архангельская область;Мезенский муниципальный район;Долгощелье;с;623;125;66.02.31;043.27.04;66.04194444;43.45111111;11642408101;1;0;село
пгт Верхняя Инта;130495;Республика Коми;ГО Инта;Верхняя Инта;пгт;617;75;65.59.08;060.19.24;65.98555556;60.32333333;87715000056;1;0;пгт
с. Уэлен;81479;Чукотский автономный округ;Чукотский район;Уэлен;с;608;205;66.09.36;-169.49.03;66.16;-169.81762;77633440101;0;1;село
с. Трусово;150655;Республика Коми;МР Усть-Цилемский;Трусово;с;606;145;65.27.35;051.22.37;65.45972222;51.37694444;87652450101;0;1;село
пос. Лайский Док;103631;Архангельская область;Приморский муниципальный район;Лайский Док;п;605;122;64.32.17;040.15.03;64.53805556;40.25083333;11652452136;0;1;поселок
д. Лаборовая;118024;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Лаборовая;д;602;187;67.38.36;067.32.57;67.64333333;67.54916667;71918418106;0;1;деревня
пгт Туманный;90330;Мурманская область;Кольский муниципальный район;Туманный;пгт;599;60;68.52.59;035.41.32;68.88305556;35.69222222;47605173051;1;0;пгт
с. Сайылык;87104;Республика Саха (Якутия);Усть-Янский;Сайылык;с;589;225;68.57.52;138.24.44;68.96444444;138.4122222;98656415101;0;1;село
пос. Каратайка;126759;Ненецкий автономный округ;Заполярный район;Каратайка;п;577;181;68.45.39;061.24.49;68.76083333;61.41361111;11811479101;0;1;поселок
с. Томтор (1);37481;Республика Саха (Якутия);Верхоянский;Томтор (1);с;570;192;67.12.11;132.08.17;67.20305556;132.1380556;98616414101;0;1;село
д. Кушкопала;55952;Архангельская область;Пинежский муниципальный район;Кушкопала;д;567;102;63.50.15;044.44.29;63.8375;44.74138889;11648416101;0;1;деревня
с. Минькино;129449;Мурманская область;Кольский муниципальный район;Минькино;с;566;104;68.59.24;033.01.09;68.99;33.01916667;47605402106;0;1;село
с. Нижняя Пеша;73332;Ненецкий автономный округ;Заполярный район;Нижняя Пеша;с;556;126;66.45.16;047.45.19;66.75444444;47.75527778;11811459101;0;1;село
пос. Новорыбная;143575;Красноярский край;Таймырский Долгано-Ненецкий район;Новорыбная;п;556;198;72.50.09;105.47.54;72.83583333;105.7983333;4653419131;0;1;поселок
с. Рыркайпий;72739;Чукотский автономный округ;Иультинский район;Рыркайпий;с;552;141;68.56.00;-179.26.00;68.93333333;-179.478318;77715000126;1;0;село
пос. 14 км;27528;Республика Карелия;Кемский;14 км;нп;549;95;64.56.29;034.29.27;64.94138889;34.49083333;86612101116;1;0;поселок
с. Верхнеимбатск;135692;Красноярский край;Туруханский район;Верхнеимбатск;с;545;132;63.09.17;087.58.00;63.15472222;87.96666667;4654410101;0;1;село
с. Зотино;139356;Красноярский край;Туруханский район;Зотино;с;544;130;60.53.34;089.41.29;60.89277778;89.69138889;4654417101;0;1;село
пос. Усть-Кара;26021;Ненецкий автономный округ;Заполярный район;Усть-Кара;п;532;151;69.14.39;064.55.15;69.24416667;64.92083333;11811448101;0;1;поселок
пос. Индига;138513;Ненецкий автономный округ;Заполярный район;Индига;п;531;127;67.39.24;049.02.10;67.65666667;49.03611111;11811468101;0;1;поселок
с. Амгуэма;106757;Чукотский автономный округ;Иультинский район;Амгуэма;с;530;198;67.02.44;-178.52.39;67.04555556;-178.879519;77715000106;1;0;село
пос. Покровское;80011;Архангельская область;Онежский муниципальный район;Покровское;п;528;131;64.00.49;038.05.42;64.01361111;38.095;11646432101;0;1;поселок
пос. Амдерма;61258;Ненецкий автономный округ;Заполярный район;Амдерма;п;524;153;69.45.32;061.39.58;69.75888889;61.66611111;11811464101;0;1;поселок
с. Лопхари;117181;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Лопхари;с;524;174;64.59.00;065.45.45;64.98333333;65.7625;71926409101;0;1;село
с. Быковский;77796;Республика Саха (Якутия);Булунский;Быковский;с;522;143;72.00.16;129.06.34;72.00444444;129.1094444;98612413101;0;1;село
пос. Мудьюга;48308;Архангельская область;Онежский муниципальный район;Мудьюга;п;520;116;63.46.27;039.15.46;63.77416667;39.26277778;11646403111;0;1;поселок
пос. Новый Бор;140859;Республика Коми;МР Усть-Цилемский;Новый Бор;п;518;93;66.43.18;052.18.23;66.72166667;52.30638889;87652425101;0;1;поселок
с. Окунев Нос;60307;Республика Коми;МР Усть-Цилемский;Окунев Нос;с;518;108;66.15.29;052.34.05;66.25805556;52.56805556;87652430101;0;1;село
с. Ойусардах;27340;Республика Саха (Якутия);Среднеколымский;Ойусардах;с;515;159;68.16.37;154.42.31;68.27694444;154.7086111;98646442101;0;1;село
с. Алеко-Кюель;129737;Республика Саха (Якутия);Среднеколымский;Алеко-Кюель;с;509;189;68.40.41;151.52.36;68.67805556;151.8766667;98646420101;0;1;село
с. Великовисочное;128186;Ненецкий автономный округ;Заполярный район;Великовисочное;с;506;79;67.15.17;052.01.54;67.25472222;52.03166667;11811434101;0;1;село
с. Ненокса;15938;Архангельская область;Северодвинск;Ненокса;с;504;103;64.37.15;039.11.09;64.62083333;39.18583333;11730000126;0;1;село
с. Тельвиска;105611;Ненецкий автономный округ;Заполярный район;Тельвиска;с;504;124;67.38.01;052.53.12;67.63361111;52.88666667;11811466101;0;1;село
с. Тумат;3145;Республика Саха (Якутия);Усть-Янский;Тумат;с;498;159;70.43.20;139.13.34;70.72222222;139.2261111;98656420101;0;1;село
пос. Сындасско;120684;Красноярский край;Таймырский Долгано-Ненецкий район;Сындасско;п;496;166;73.15.53;108.12.41;73.26472222;108.2113889;4653419141;0;1;поселок
с. Намы;140793;Республика Саха (Якутия);Булунский;Намы;с;493;186;69.31.14;132.13.44;69.52055556;132.2288889;98612407101;0;1;село
пос. Суринда;115395;Красноярский край;Эвенкийский район;Суринда;п;493;173;62.33.29;097.24.31;62.55805556;97.40861111;4650429101;0;1;поселок
с. Аргахтах;142569;Республика Саха (Якутия);Среднеколымский;Аргахтах;с;485;179;68.26.34;153.22.34;68.44277778;153.3761111;98646405101;0;1;село
с. Сватай;118703;Республика Саха (Якутия);Среднеколымский;Сватай;с;485;166;68.03.31;151.48.08;68.05861111;151.8022222;98646436101;0;1;село
с. Ура-Губа;146928;Мурманская область;Кольский муниципальный район;Ура-Губа;с;478;61;69.17.27;032.48.17;69.29083333;32.80472222;47605407101;0;1;село
с. Юнкюр;67022;Республика Саха (Якутия);Верхоянский;Юнкюр;с;477;171;66.33.26;132.54.57;66.55722222;132.9158333;98616442101;0;1;село
с. Куберганя;66813;Республика Саха (Якутия);Абыйский;Куберганя;с;476;131;67.46.13;144.29.15;67.77027778;144.4875;98601409101;0;1;село
пос. Таежный;26908;Архангельская область;Пинежский муниципальный район;Таежный;п;476;74;64.02.38;044.02.09;64.04388889;44.03583333;11648452121;0;1;поселок
с. Бала;152056;Республика Саха (Якутия);Верхоянский;Бала;с;475;161;67.10.47;132.49.58;67.17972222;132.8327778;98616409101;0;1;село
с. Питляр;57657;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Питляр;с;475;169;65.50.21;065.54.40;65.83916667;65.91111111;71926415000;0;1;село
пос. Сюнай-Сале;22136;Ямало-Ненецкий автономный округ;Ямальский муниципальный район;Сюнай-Сале;п;474;152;66.54.03;071.15.60;66.90083333;71.26666667;71928417106;0;1;поселок
пос. Зареченск;151414;Мурманская область;Кандалакшский муниципальный район;Зареченск;нп;473;46;66.40.56;031.26.20;66.68222222;31.43888889;47608407;1;0;поселок
с. Лувеньга;10200;Мурманская область;Кандалакшский муниципальный район;Лувеньга;с;470;85;67.06.12;032.42.55;67.10333333;32.71527778;47608101106;0;1;село
с. Сайды;96995;Республика Саха (Якутия);Верхоянский;Сайды;с;469;163;68.41.50;134.27.53;68.69722222;134.4647222;98616464101;0;1;село
пос. Энгозеро;133683;Республика Карелия;Лоухский;Энгозеро;п;469;84;65.47.22;033.56.34;65.78944444;33.94277778;86621403106;1;0;поселок
с. Найба;120324;Республика Саха (Якутия);Булунский;Найба;с;468;93;70.50.58;130.45.18;70.84944444;130.755;98612456101;0;1;село
с. Эбях;134625;Республика Саха (Якутия);Среднеколымский;Эбях;с;467;124;68.23.40;150.44.60;68.39444444;150.75;98646422101;0;1;село
пос. Амбарный;17909;Республика Карелия;Лоухский;Амбарный;п;466;108;65.53.45;033.43.05;65.89583333;33.71805556;86621403101;0;1;поселок
пос. Нименьга;27987;Архангельская область;Онежский муниципальный район;Нименьга (поселок);п;465;104;63.41.37;037.36.51;63.69361111;37.61416667;11646416101;0;1;поселок
с. Сылгы-Ытар;65697;Республика Саха (Якутия);Среднеколымский;Сылгы-Ытар;с;462;128;67.51.05;154.49.03;67.85138889;154.8175;98646435101;0;1;село
с. Мейныпильгыно;8623;Чукотский автономный округ;Анадырский район;Мейныпильгыно;с;460;87;62.32.34;177.03.19;62.54277778;177.0552778;77603474101;0;1;село
с. Рыткучи;118951;Чукотский автономный округ;Чаунский район;Рыткучи;с;456;178;68.53.48;170.43.01;68.89666667;170.7169444;77705000121;1;0;село
пос. Харута;132003;Ненецкий автономный округ;Заполярный район;Харута;п;451;101;66.50.25;059.31.34;66.84027778;59.52611111;11811473101;0;1;поселок
пос. Лесозаводский;24028;Мурманская область;Кандалакшский муниципальный район;Лесозаводский;нп;444;59;66.43.47;032.50.44;66.72972222;32.84555556;47608158;1;0;поселок
с. Щельябож;17887;Республика Коми;ГО Усинск;Щельябож;с;441;106;66.17.28;056.27.06;66.29111111;56.45166667;87723000151;0;1;село
с. Нори;10073;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Нори;с;438;72;66.09.06;072.24.38;66.15166667;72.41055556;71916402106;0;1;село
с. Налимск;144019;Республика Саха (Якутия);Среднеколымский;Налимск;с;437;126;67.35.03;153.38.42;67.58416667;153.645;98646410101;0;1;село
д. Ластола;32033;Архангельская область;Приморский муниципальный район;Ластола;д;432;103;64.35.48;040.16.44;64.59666667;40.27888889;11652446226;0;1;деревня
с. Абый;113892;Республика Саха (Якутия);Абыйский;Абый;с;428;132;68.23.37;145.04.08;68.39361111;145.0688889;98601404101;0;1;село
д. Кяростров;136578;Архангельская область;Приморский муниципальный район;Кяростров;д;428;86;64.32.29;040.25.19;64.54138889;40.42194444;11652446221;0;1;деревня
д. Денисовка;145917;Республика Коми;ГО Усинск;Денисовка;д;426;117;66.12.24;055.25.40;66.20666667;55.42777778;87723000166;0;1;деревня
с. Краснощелье;99463;Мурманская область;Ловозерский муниципальный район;Краснощелье;с;423;67;67.20.59;037.03.11;67.34972222;37.05305556;47610401111;0;1;село
с. Сутуруоха;41396;Республика Саха (Якутия);Абыйский;Сутуруоха;с;422;128;68.33.10;146.09.44;68.55277778;146.1622222;98601433101;0;1;село
с. Инчоун;79736;Чукотский автономный округ;Чукотский район;Инчоун;с;418;162;66.17.49;-170.16.44;66.29694444;-170.279103;77633410101;0;1;село
д. Новикбож;58598;Республика Коми;ГО Усинск;Новикбож;д;417;82;66.01.46;056.52.56;66.02944444;56.88222222;87723000181;0;1;деревня
с. Усун-Кюель;22610;Республика Саха (Якутия);Верхнеколымский;Усун-Кюель;с;414;99;66.20.42;150.30.36;66.345;150.51;98615405101;0;1;село
с. Восяхово;101997;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Восяхово;с;413;142;65.34.32;064.35.59;65.57555556;64.59972222;71926412121;0;1;село
с. Вознесенье;36777;Архангельская область;Приморский муниципальный район;Вознесенье;с;412;86;64.34.19;040.20.31;64.57194444;40.34194444;11652446101;0;1;село
с. Вожгора;133348;Архангельская область;Лешуконский муниципальный район;Вожгора;с;410;91;64.32.11;048.27.15;64.53638889;48.45416667;11638404101;1;0;село
с. Хатырка;133898;Чукотский автономный округ;Анадырский район;Хатырка;с;401;104;62.03.42;175.17.22;62.06166667;175.2894444;77603479101;0;1;село
с. Кыстатыам;137056;Республика Саха (Якутия);Жиганский национальный эвенкийский;Кыстатыам;с;399;95;67.19.17;123.20.39;67.32138889;123.3441667;98622417101;0;1;село
с. Хайыр;5328;Республика Саха (Якутия);Усть-Янский;Хайыр;с;396;134;70.48.47;133.29.53;70.81305556;133.4980556;98656410101;0;1;село
с. Анюйск;37108;Чукотский автономный округ;Билибинский район;Анюйск;с;394;114;68.20.40;161.33.37;68.34444444;161.5602778;77609403101;0;1;село
д. Вокнаволок;86910;Республика Карелия;Костомукшский;Вокнаволок;д;394;76;64.57.06;030.33.12;64.95166667;30.55333333;86706000111;0;1;деревня
пос. Сосновый;82588;Республика Карелия;Лоухский;Сосновый;п;394;82;66.00.03;032.19.15;66.00083333;32.32083333;86621425106;0;1;поселок
с. Койнас;137360;Архангельская область;Лешуконский муниципальный район;Койнас;с;392;78;64.45.15;047.38.16;64.75416667;47.63777778;11638406101;0;1;село
пос. Чёрный порог;104291;Республика Карелия;Сегежский;Чёрный порог;п;390;42;63.59.50;033.39.19;63.99722222;33.65527778;86645450101;0;1;поселок
с. Колва;113571;Республика Коми;ГО Усинск;Колва;с;387;73;65.58.01;057.21.35;65.96694444;57.35972222;87723000131;0;1;село
пос. Усть-Авам;136320;Красноярский край;Таймырский Долгано-Ненецкий район;Усть-Авам;п;384;110;71.07.02;092.49.17;71.11722222;92.82138889;4653101121;0;1;поселок
д. Хорьково;150271;Архангельская область;Приморский муниципальный район;Хорьково;д;382;77;64.22.55;041.01.30;64.38194444;41.025;11652406256;0;1;деревня
пос. Сандакчес;90754;Красноярский край;Туруханский район;Сандакчес;п;375;146;61.17.59;088.30.10;61.29972222;88.50277778;4654413111;0;1;поселок
с. Хабариха;10257;Республика Коми;МР Усть-Цилемский;Хабариха;с;375;85;65.49.15;052.18.47;65.82083333;52.31305556;87652445101;0;1;село
с. Оксино;49927;Ненецкий автономный округ;Заполярный район;Оксино;с;374;79;67.35.00;052.10.51;67.58333333;52.18083333;11811463101;0;1;село
с. Сыаганнах;48378;Республика Саха (Якутия);Абыйский;Сыаганнах;с;369;99;68.22.15;143.37.59;68.37083333;143.6330556;98601417101;0;1;село
с. Буор-Сысы;7339;Республика Саха (Якутия);Момский национальный;Буор-Сысы;с;368;95;66.29.19;143.02.57;66.48861111;143.0491667;98633414101;0;1;село
пос. Хета;134073;Красноярский край;Таймырский Долгано-Ненецкий район;Хета;п;368;136;71.33.52;099.39.30;71.56444444;99.65833333;4653419146;0;1;поселок
пос. Вирандозеро;29581;Республика Карелия;Беломорский;Вирандозеро;п;366;54;64.01.08;036.00.42;64.01888889;36.01166667;86604433116;0;1;поселок
с. Койда;113825;Архангельская область;Мезенский муниципальный район;Койда;с;364;68;66.22.43;042.32.23;66.37861111;42.53972222;11642428101;0;1;село
с. Азовы;114048;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Азовы;с;362;104;64.53.35;065.03.49;64.89305556;65.06361111;71926403101;0;1;село
с. Хайысардах;88394;Республика Саха (Якутия);Верхоянский;Хайысардах;с;362;125;67.57.51;134.44.33;67.96416667;134.7425;98616470101;0;1;село
пос. Щучье;90409;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Щучье;п;361;179;67.15.52;068.40.21;67.26444444;68.6725;71918418111;0;1;поселок
с. Кепервеем;57900;Чукотский автономный округ;Билибинский район;Кепервеем;с;360;91;67.50.35;166.08.14;67.84305556;166.1372222;77609101106;0;1;село
пос. Глазаниха;51323;Архангельская область;Онежский муниципальный район;Глазаниха;п;357;42;63.47.17;038.58.55;63.78805556;38.98194444;11646403106;0;1;поселок
с. Усть-Лыжа;109145;Республика Коми;ГО Усинск;Усть-Лыжа;с;356;78;65.40.54;056.40.37;65.68166667;56.67694444;87723000141;0;1;село
пос. Идель;1265;Республика Карелия;Сегежский;Идель;п;353;39;64.07.46;034.15.09;64.12944444;34.2525;86645420101;0;1;поселок
д. Карпушевка;88218;Республика Коми;МР Усть-Цилемский;Карпушевка;д;351;82;65.25.19;052.14.54;65.42194444;52.24833333;87652415116;0;1;деревня
с. Варзуга;107096;Мурманская область;Терский муниципальный район;Варзуга;с;349;78;66.23.47;036.36.20;66.39638889;36.60555556;47620401101;0;1;село
с. Дорогорское;81601;Архангельская область;Мезенский муниципальный район;Дорогорское;с;349;66;65.36.11;044.29.58;65.60305556;44.49944444;11642412101;1;0;село
пос. Абезь;27685;Республика Коми;ГО Инта;Абезь (поселок);п;348;61;66.31.15;061.45.22;66.52083333;61.75611111;87715000106;0;1;поселок
с. Петрунь;13992;Республика Коми;ГО Инта;Петрунь;с;348;60;66.28.19;060.44.31;66.47194444;60.74194444;87715000161;0;1;село
д. Юшкозеро;54316;Республика Карелия;Калевальский национальный;Юшкозеро;д;348;54;64.44.53;032.06.13;64.74805556;32.10361111;86609455101;0;1;деревня
д. Анциферовский Бор;16323;Архангельская область;Онежский муниципальный район;Анциферовский Бор;д;347;101;63.34.26;039.01.18;63.57388889;39.02166667;11646444101;0;1;деревня
с. Коткино;44071;Ненецкий автономный округ;Заполярный район;Коткино;с;345;78;67.01.56;051.08.18;67.03222222;51.13833333;11811452101;0;1;село
с. Эйик;29627;Республика Саха (Якутия);Оленёкский национальный эвенкийский;Эйик;с;345;112;66.02.06;117.24.11;66.035;117.4030556;98642450;1;0;село
с. Верхнеколымск;106890;Республика Саха (Якутия);Верхнеколымский;Верхнеколымск;с;344;95;65.43.06;150.49.59;65.71833333;150.8330556;98615409101;0;1;село
пос. Тунгозеро;127386;Республика Карелия;Лоухский;Тунгозеро;п;343;66;65.45.11;031.17.53;65.75305556;31.29805556;86621425111;1;0;поселок
с. Суордах;25747;Республика Саха (Якутия);Верхоянский;Суордах;с;338;102;66.40.36;131.46.22;66.67666667;131.7727778;98616448101;0;1;село
пос. Усть-Порт;67644;Красноярский край;Таймырский Долгано-Ненецкий район;Усть-Порт;п;338;110;69.39.49;084.24.31;69.66361111;84.40861111;4653417146;0;1;поселок
с. Порог;123355;Архангельская область;Онежский муниципальный район;Порог;с;337;83;63.49.57;038.28.30;63.8325;38.475;11646436101;0;1;село
д. Захарвань;98651;Республика Коми;ГО Усинск;Захарвань;д;335;93;66.20.06;055.52.09;66.335;55.86916667;87723000171;0;1;деревня
пос. Катырык;61082;Красноярский край;Таймырский Долгано-Ненецкий район;Катырык;п;334;111;71.16.28;099.23.14;71.27444444;99.38722222;4653419111;0;1;поселок
пос. Попигай;24716;Красноярский край;Таймырский Долгано-Ненецкий район;Попигай;п;334;106;71.53.22;110.47.18;71.88944444;110.7883333;4653419136;0;1;поселок
д. Шотова;55176;Архангельская область;Пинежский муниципальный район;Шотова;д;334;78;64.00.49;044.21.07;64.01361111;44.35194444;11648408131;0;1;деревня
пос. Сывдарма;42933;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Сывдарма;п;333;79;65.16.12;077.44.36;65.27;77.74333333;71920408106;0;1;поселок
пос. Хантайское Озеро;414;Красноярский край;Таймырский Долгано-Ненецкий район;Хантайское Озеро;п;332;123;68.13.08;089.59.14;68.21888889;89.98722222;4653101126;0;1;поселок
с. Новое Чаплино;35662;Чукотский автономный округ;Провиденский;Новое Чаплино;с;328;111;64.29.54;-172.51.30;64.49833333;-172.858893;77710000106;0;1;село
пос. Бугрино;75790;Ненецкий автономный округ;Заполярный район;Бугрино;п;327;95;68.46.58;049.18.13;68.78277778;49.30361111;11811451101;0;1;поселок
д. Новинки;88232;Архангельская область;Приморский муниципальный район;Новинки;д;327;48;64.23.11;041.01.34;64.38638889;41.02611111;11652406196;0;1;деревня
пос. Щукозеро;49477;Мурманская область;Городской округ ЗАТО город Североморск;Щукозеро;нп;320;86;69.01.34;033.38.21;69.02611111;33.63916667;47730000111;1;0;поселок
с. Сиреники;30622;Чукотский автономный округ;Провиденский;Сиреники;с;316;94;64.24.28;-173.56.38;64.40777778;-173.941857;77710000116;0;1;село
пос. Новая;48012;Красноярский край;Таймырский Долгано-Ненецкий район;Новая;п;313;116;71.44.49;101.13.01;71.74694444;101.2169444;4653419126;0;1;поселок
с. Энмелен;41192;Чукотский автономный округ;Провиденский;Энмелен;с;313;101;65.00.25;-175.50.07;65.00694444;-175.868151;77710000121;0;1;село
с. Березовка;120108;Республика Саха (Якутия);Среднеколымский;Березовка;с;312;139;67.07.55;156.34.59;67.13194444;156.5830556;98646415101;0;1;село
пос. Голубые Ручьи;89263;Мурманская область;Кольский муниципальный район;Голубые Ручьи;нп;309;90;68.45.29;033.01.16;68.75805556;33.02111111;47605158111;1;0;поселок
д. Кеврола;95115;Архангельская область;Пинежский муниципальный район;Кеврола;д;307;65;63.57.16;044.30.48;63.95444444;44.51333333;11648412101;0;1;деревня
пос. Келлог;89388;Красноярский край;Туруханский район;Келлог;п;306;87;62.29.14;086.16.43;62.48722222;86.27861111;4654701932;0;1;поселок
с. Янракыннот;1627;Чукотский автономный округ;Провиденский;Янракыннот;с;305;99;64.54.35;-172.29.51;64.90972222;-172.494501;77710000126;0;1;село
д. Шардонемь;129942;Архангельская область;Пинежский муниципальный район;Шардонемь;д;302;47;63.54.22;044.35.48;63.90611111;44.59666667;11648408126;0;1;деревня
пос. Сылога;68349;Архангельская область;Пинежский муниципальный район;Сылога;п;298;44;63.49.22;043.39.58;63.82277778;43.66611111;11648431106;0;1;поселок
пос. Новое Юшкозеро;89624;Республика Карелия;Калевальский национальный;Новое Юшкозеро;п;296;66;64.46.29;032.13.31;64.77472222;32.22527778;86609455106;0;1;поселок
д. Веркола;122757;Архангельская область;Пинежский муниципальный район;Веркола;д;295;48;63.48.40;045.08.51;63.81111111;45.1475;11648404101;0;1;деревня
пос. Луусалми;123982;Республика Карелия;Калевальский национальный;Луусалми;п;293;50;65.03.27;031.33.51;65.0575;31.56416667;86609444101;0;1;поселок
пос. Эконда;86449;Красноярский край;Эвенкийский район;Эконда;п;291;124;65.45.15;105.19.42;65.75416667;105.3283333;4650453101;0;1;поселок
пос. Пельвож;15097;Ямало-Ненецкий автономный округ;Салехард;Пельвож;п;286;51;66.14.06;066.37.22;66.235;66.62277778;71951000106;0;1;поселок
с. Сиктях;120453;Республика Саха (Якутия);Булунский;Сиктях;с;285;34;69.54.42;125.06.18;69.91166667;125.105;98612427101;0;1;село
с. Столбы;37808;Республика Саха (Якутия);Верхоянский;Столбы;с;284;72;67.31.54;134.05.17;67.53166667;134.0880556;98616445101;0;1;село
пос. Золотуха;50247;Архангельская область;Онежский муниципальный район;Золотуха;п;282;50;63.41.51;036.55.32;63.6975;36.92555556;11646402101;0;1;поселок
с. Нунлигран;31181;Чукотский автономный округ;Провиденский;Нунлигран;с;282;98;64.48.03;-175.24.08;64.80083333;-175.384345;77710000111;0;1;село
с. Островное;64229;Чукотский автономный округ;Билибинский район;Островное;с;281;103;68.06.38;164.10.24;68.11055556;164.1733333;77609433101;0;1;село
с. Томтор (2);72164;Республика Саха (Якутия);Верхоянский;Томтор (2);с;281;76;67.09.14;134.41.39;67.15388889;134.6941667;98616414101;0;1;село
с. Ваеги;122688;Чукотский автономный округ;Анадырский район;Ваеги;с;278;73;64.09.56;171.02.29;64.16555556;171.0413889;77603405101;0;1;село
пос. Русковера;155086;Архангельская область;Пинежский муниципальный район;Русковера;п;278;44;63.53.47;044.07.16;63.89638889;44.12111111;11648452116;0;1;поселок
с. Фарково;93444;Красноярский край;Туруханский район;Фарково;с;278;114;65.43.07;086.58.48;65.71861111;86.98;4654701987;0;1;село
с. Боронук;12026;Республика Саха (Якутия);Верхоянский;Боронук;с;277;98;67.34.42;133.26.58;67.57833333;133.4494444;98616477101;0;1;село
д. Городецк;15924;Архангельская область;Пинежский муниципальный район;Городецк;д;275;57;63.34.05;045.41.53;63.56805556;45.69805556;11648440111;1;0;деревня
пос. Кресты;53874;Красноярский край;Таймырский Долгано-Ненецкий район;Кресты;п;274;86;71.54.56;102.07.19;71.91555556;102.1219444;4653419121;0;1;поселок
пос. Шуйга;42646;Архангельская область;Пинежский муниципальный район;Шуйга;п;274;56;63.31.09;045.41.48;63.51916667;45.69666667;11648440176;0;1;поселок
с. Энурмино;124462;Чукотский автономный округ;Чукотский район;Энурмино;с;274;91;66.57.15;-171.51.49;66.95416667;-171.864593;77633445101;0;1;село
пос. Шомокша;155517;Архангельская область;Онежский муниципальный район;Шомокша;п;271;61;63.10.48;039.09.21;63.18;39.15583333;11646444326;0;1;поселок
пос. Сопка;26590;Архангельская область;Северодвинск;Сопка;п;268;41;64.38.32;039.11.38;64.64222222;39.19388889;11730000121;0;1;поселок
пос. Унежма;131774;Архангельская область;Онежский муниципальный район;Унежма;п;267;51;63.46.44;036.37.51;63.77888889;36.63083333;11646162116;0;1;поселок
с. Усть-Янск;302;Республика Саха (Якутия);Усть-Янский;Усть-Янск;с;266;133;70.54.48;136.26.59;70.91333333;136.4497222;98656425101;0;1;село
с. Конергино;41633;Чукотский автономный округ;Иультинский район;Конергино;с;265;68;65.54.14;-178.51.39;65.90388889;-178.845994;77715000116;1;0;село
пос. Луговой;111332;Архангельская область;Приморский муниципальный район;Луговой;п;264;64;64.30.39;040.25.59;64.51083333;40.43305556;11652408221;1;0;поселок
пос. Тутончаны;19001;Красноярский край;Эвенкийский район;Тутончаны;п;263;71;64.12.31;093.47.41;64.20861111;93.79472222;4650444101;0;1;поселок
с. Шойна;98248;Ненецкий автономный округ;Заполярный район;Шойна;с;263;70;67.52.38;044.09.17;67.87722222;44.15472222;11811476101;0;1;село
д. Занюхча;59676;Архангельская область;Пинежский муниципальный район;Занюхча;д;262;66;63.26.01;046.32.31;63.43361111;46.54194444;11648424101;0;1;деревня
пос. Сивомаскинский;44270;Республика Коми;ГО Воркута;Сивомаскинский;п;261;0;66.40.21;062.34.15;66.6725;62.57083333;87710000116;0;1;поселок
пос. Куусиниеми;76312;Республика Карелия;Калевальский национальный;Куусиниеми;п;258;44;65.10.26;031.27.52;65.17388889;31.46444444;86609151106;0;1;поселок
с. Походск;52678;Республика Саха (Якутия);Нижнеколымский;Походск;с;258;0;69.04.46;160.58.10;69.07944444;160.9694444;98637424101;0;1;село
д. Большой Бор;139763;Архангельская область;Онежский муниципальный район;Большой Бор;д;257;42;63.36.45;039.07.08;63.6125;39.11888889;11646444121;0;1;деревня
с. Баханай;19113;Республика Саха (Якутия);Жиганский национальный эвенкийский;Баханай;с;256;67;66.01.00;123.39.17;66.01666667;123.6547222;98622422101;0;1;село
пос. Кузема;29363;Республика Карелия;Кемский;Кузема;п;256;40;65.21.33;034.15.20;65.35916667;34.25555556;86612444101;0;1;поселок
с. Соболох;141817;Республика Саха (Якутия);Момский национальный;Соболох;с;256;77;66.15.11;143.18.48;66.25305556;143.3133333;98633428101;0;1;село
д. Филиппово;9205;Республика Коми;МР Усть-Цилемский;Филиппово;д;255;25;65.26.14;051.06.09;65.43722222;51.1025;87652450121;0;1;деревня
пос. Килпъявр;12015;Мурманская область;Кольский муниципальный район;Килпъявр;нп;254;37;69.05.15;032.25.26;69.0875;32.42388889;47605402116;1;0;поселок
пос. Воронцово;4724;Красноярский край;Таймырский Долгано-Ненецкий район;Воронцово;п;253;69;71.41.50;083.33.24;71.69722222;83.55666667;4653417111;0;1;поселок
