Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
д. Чуласа;50058;Архангельская область;Лешуконский муниципальный район;Чуласа;д;28;5;64.37.56;046.01.22;64.63222222;46.02277778;11638416116;0;1;деревня
д. Глинник;48260;Архангельская область;Приморский муниципальный район;Глинник;д;27;6;64.33.11;040.18.05;64.55305556;40.30138889;11652408136;0;1;деревня
д. Голова;16260;Архангельская область;Приморский муниципальный район;Голова;д;27;11;64.44.09;040.01.48;64.73583333;40.03;11652446166;1;0;деревня
д. Дедов Полой;22220;Архангельская область;Приморский муниципальный район;Дедов Полой;д;27;4;64.25.18;040.55.42;64.42166667;40.92833333;11652406136;0;1;деревня
д. Малое Кротово;148603;Архангельская область;Пинежский муниципальный район;Малое Кротово;д;27;6;63.55.54;044.10.55;63.93166667;44.18194444;11648428121;0;1;деревня
с. Оленица;43071;Мурманская область;Терский муниципальный район;Оленица;с;27;1;66.28.09;035.20.03;66.46916667;35.33416667;47620151116;0;1;село
д. Большая Нисогора;65712;Архангельская область;Лешуконский муниципальный район;Большая Нисогора;д;26;3;64.59.24;045.33.57;64.99;45.56583333;11638408111;1;0;деревня
д. Мелехово;116833;Архангельская область;Приморский муниципальный район;Мелехово;д;26;4;64.27.28;040.37.18;64.45777778;40.62166667;11652436161;0;1;деревня
д. Выселки;98087;Архангельская область;Приморский муниципальный район;Выселки;д;25;5;64.35.04;040.27.03;64.58444444;40.45083333;11652446156;0;1;деревня
д. Заручевская;18592;Архангельская область;Приморский муниципальный район;Заручевская;д;25;5;64.19.54;041.28.40;64.33166667;41.47777778;11652406156;0;1;деревня
д. Затезье;144474;Архангельская область;Онежский муниципальный район;Затезье;д;25;4;63.07.28;039.15.50;63.12444444;39.26388889;11646444161;0;1;деревня
д. Летопала;51229;Архангельская область;Пинежский муниципальный район;Летопала;д;25;6;63.47.55;045.16.24;63.79861111;45.27333333;11648404106;0;1;деревня
д. Мгла;24118;Ненецкий автономный округ;Заполярный район;Мгла;д;25;2;66.29.35;044.23.53;66.49305556;44.39805556;11811443111;0;1;деревня
д. Павловская;72626;Архангельская область;Онежский муниципальный район;Павловская;д;25;4;63.49.34;038.28.03;63.82611111;38.4675;11646436156;0;1;деревня
